ID,Year_Birth,Age,Kidhome,Teenhome,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntOtherProds,NumStorePurchases,NumDealPurchases,NumWebPurchases,NumCatalogPurchases,NumWebVisitsMonth,MntTotal,ResponseCC
1,1961,63,0,0,1/09/2022,10672,115,1472,161,0,851,3,35,14,6,7,13271,0
9,1975,49,1,1,4/11/2020,1311,0,621,0,0,828,12,56,6,4,2,2760,0
13,1947,77,0,1,8/10/2021,437,0,115,0,0,184,6,42,2,0,3,736,0
17,1971,53,0,1,23/11/2021,14651,1081,5451,276,437,1748,12,35,12,22,7,23644,0
20,1965,59,0,1,18/11/2021,989,276,529,667,345,1403,3,28,4,2,4,4209,0
25,1958,66,0,1,2/02/2021,10580,805,9706,759,276,3519,6,28,12,12,7,25645,0
49,1970,54,1,0,28/07/2022,46,69,138,92,23,207,3,49,2,2,2,575,0
67,1972,52,1,1,5/12/2021,1564,0,368,0,0,184,9,49,4,0,4,2116,0
73,1953,71,1,2,12/08/2021,322,0,69,0,0,23,3,35,0,0,3,414,0
78,1969,55,1,0,2/12/2021,345,0,253,0,46,207,3,56,2,2,2,851,0
87,1981,43,1,0,12/11/2021,0,161,115,598,46,391,6,49,4,0,3,1311,0
115,1966,58,0,1,12/06/2021,6325,253,1564,575,161,161,9,35,10,2,8,9039,0
123,1951,73,0,1,25/03/2021,12512,805,3059,529,3473,2461,6,14,8,10,4,22839,0
143,1970,54,0,0,11/11/2021,10718,0,5152,2737,1127,2277,3,14,10,6,4,22011,0
146,1960,64,0,0,1/02/2022,17480,1219,9200,391,2139,0,3,14,8,10,11,30429,0
153,1953,71,0,0,3/01/2022,437,69,138,92,46,276,3,28,2,0,3,1058,0
164,1977,47,0,0,30/12/2020,4738,0,1058,69,46,276,6,56,10,2,5,6187,0
176,1980,44,0,1,21/03/2022,2070,874,1541,759,828,1541,3,21,8,2,6,7613,0
193,1996,28,0,0,6/05/2022,0,0,46,69,69,184,3,35,2,0,2,368,0
195,1972,52,1,0,12/11/2020,2875,391,1196,69,437,690,12,56,10,2,4,5658,0
199,1962,62,0,0,8/04/2021,5037,69,1380,276,207,276,3,49,8,2,7,7245,0
202,1948,76,0,0,22/06/2022,7636,4462,8671,3427,2875,1311,0,7,8,12,7,28382,0
213,1963,61,1,1,14/08/2022,805,0,253,0,0,46,12,49,4,2,3,1104,0
217,1956,68,0,0,9/02/2021,12788,322,16491,4830,0,989,3,28,14,10,10,35420,0
221,1955,69,0,1,14/07/2021,3174,69,874,92,0,1357,9,42,6,4,4,5566,0
232,1965,59,0,1,3/10/2021,6417,1909,2024,736,322,782,3,21,8,4,10,12190,0
234,1979,45,1,0,27/12/2020,23,46,184,92,69,299,6,49,2,2,2,713,0
236,1951,73,1,1,7/04/2021,644,529,667,667,322,1081,9,42,4,2,4,3910,0
246,1965,59,1,1,17/08/2022,4577,207,1311,460,483,138,21,28,8,2,7,7176,0
247,1971,53,1,0,3/02/2021,3956,230,2875,483,299,368,18,63,14,4,4,8211,0
252,1963,61,0,0,3/06/2021,2829,3059,3266,1633,1012,2024,3,42,12,4,8,13823,0
255,1951,73,1,1,16/06/2022,391,0,46,0,0,46,6,42,2,0,3,483,0
257,1959,65,0,1,15/07/2021,21896,276,4140,1081,276,276,6,21,10,8,9,27945,0
263,1945,79,0,0,14/08/2022,1288,437,667,46,322,575,3,56,6,2,3,3335,0
269,1963,61,0,1,2/02/2021,17871,690,3749,0,1173,2806,18,63,8,8,7,26289,0
271,1969,55,1,1,19/12/2021,3542,0,1150,138,253,851,15,42,6,8,3,5934,0
274,1973,51,1,1,11/03/2022,207,69,345,46,69,46,6,42,4,0,3,782,0
286,1952,72,1,1,15/02/2022,2185,253,805,0,92,161,12,42,4,2,5,3496,0
295,1989,35,0,0,5/10/2021,11339,1610,7452,3358,920,1932,3,7,6,14,11,26611,1
310,1970,54,0,1,1/03/2022,7590,115,3657,828,621,368,12,28,8,8,9,13179,0
332,1957,67,0,1,8/06/2021,4554,46,989,0,276,460,9,42,8,2,6,6325,0
339,1972,52,0,1,9/02/2021,10626,0,552,138,0,92,6,49,18,4,5,11408,0
340,1970,54,0,1,3/03/2021,3634,805,4117,0,0,2875,6,35,14,4,8,11431,0
347,1976,48,0,1,25/11/2020,5267,621,1633,299,69,782,12,63,14,2,5,8671,0
361,1969,55,1,1,7/05/2022,115,23,161,46,23,92,3,49,2,0,2,460,0
368,1974,50,0,1,15/02/2021,2093,1495,1196,230,1012,644,9,35,6,4,6,6670,0
